6.714076995849609375e+00,6.832357406616210938e+00
8.416616439819335938e+00,9.192955970764160156e+00
6.947057723999023438e+00,6.715697288513183594e+00
6.566883563995361328e+00,8.217795372009277344e+00
8.069240570068359375e+00,7.062557697296142578e+00
6.681341648101806641e+00,1.006363487243652344e+01
6.455699443817138672e+00,9.235076904296875000e+00
8.559354782104492188e+00,7.893368721008300781e+00
9.553538322448730469e+00,8.381232261657714844e+00
7.002346992492675781e+00,1.037759017944335938e+01
6.221720218658447266e+00,8.728123664855957031e+00
7.441790103912353516e+00,7.195610046386718750e+00
6.775456428527832031e+00,7.721829891204833984e+00
9.692399978637695312e+00,1.061085605621337891e+01
8.519356727600097656e+00,8.237231254577636719e+00
6.596983432769775391e+00,9.233493804931640625e+00
6.861427783966064453e+00,1.018268680572509766e+01
9.314252853393554688e+00,1.049023628234863281e+01
6.576094627380371094e+00,9.514986038208007812e+00
7.847208499908447266e+00,7.927254676818847656e+00
6.906673908233642578e+00,8.475408554077148438e+00
9.506841659545898438e+00,7.818924427032470703e+00
9.039761543273925781e+00,9.624243736267089844e+00
6.340038776397705078e+00,8.670055389404296875e+00
6.480653285980224609e+00,8.494412422180175781e+00
8.066828727722167969e+00,6.715826988220214844e+00
9.277482032775878906e+00,9.371054649353027344e+00
7.546534538269042969e+00,8.313858985900878906e+00
7.477918148040771484e+00,7.367083549499511719e+00
6.786037445068359375e+00,8.394922256469726562e+00
7.086837768554687500e+00,8.675110816955566406e+00
6.879666805267333984e+00,1.009303665161132812e+01
7.162984371185302734e+00,1.069800758361816406e+01
6.967254638671875000e+00,6.990099906921386719e+00
1.102364444732666016e+01,6.876702785491943359e+00
7.009191513061523438e+00,8.077366828918457031e+00
7.428555488586425781e+00,8.672947883605957031e+00
8.377410888671875000e+00,8.089620590209960938e+00
6.444089889526367188e+00,9.084228515625000000e+00
7.454105377197265625e+00,8.549590110778808594e+00
1.054220104217529297e+01,8.980828285217285156e+00
8.423151016235351562e+00,9.998146057128906250e+00
7.573459148406982422e+00,9.370566368103027344e+00
1.161869907379150391e+01,8.987024307250976562e+00
7.740003585815429688e+00,1.019189167022705078e+01
6.309762954711914062e+00,8.672713279724121094e+00
8.259166717529296875e+00,9.323488235473632812e+00
6.531499385833740234e+00,8.594090461730957031e+00
7.231097221374511719e+00,8.808286666870117188e+00
8.926259040832519531e+00,8.002841949462890625e+00
8.847889900207519531e+00,7.532155036926269531e+00
7.054956436157226562e+00,8.149900436401367188e+00
8.200413703918457031e+00,8.109404563903808594e+00
1.150928020477294922e+01,9.766734123229980469e+00
8.319092750549316406e+00,6.872061252593994141e+00
7.683021068572998047e+00,8.044046401977539062e+00
7.482708454132080078e+00,6.861016273498535156e+00
1.108148956298828125e+01,7.286275386810302734e+00
8.139523506164550781e+00,9.533250808715820312e+00
6.448838233947753906e+00,8.091108322143554688e+00
6.545051097869873047e+00,9.755208969116210938e+00
7.861692428588867188e+00,8.823104858398437500e+00
8.457672119140625000e+00,9.931275367736816406e+00
7.963711261749267578e+00,1.012700462341308594e+01
6.928404808044433594e+00,7.807916164398193359e+00
7.506505012512207031e+00,9.248581886291503906e+00
