Name,Vector1,Vector2,Row,Column,F,Well,Compound,Concentration
r01c24f06p01-sk1fk1fl1.tiff,-1.8123146,-2.349887,A,24,06,A24,DMSO,
r01c24f07p01-sk1fk1fl1.tiff,0.5552897,0.90432686,A,24,07,A24,DMSO,
r01c24f08p01-sk1fk1fl1.tiff,-2.9962711,-2.3618548,A,24,08,A24,DMSO,
r01c24f09p01-sk1fk1fl1.tiff,-1.7461298,-3.5097864,A,24,09,A24,DMSO,
r02c01f01p01-sk1fk1fl1.tiff,3.795351,6.4148602,B,01,01,B01,Brefeldin A,50
r02c01f02p01-sk1fk1fl1.tiff,3.08789,5.583305,B,01,02,B01,Brefeldin A,50
r02c01f03p01-sk1fk1fl1.tiff,3.3568864,5.719809,B,01,03,B01,Brefeldin A,50
r02c01f04p01-sk1fk1fl1.tiff,3.1896539,6.2063212,B,01,04,B01,Brefeldin A,50
r02c01f05p01-sk1fk1fl1.tiff,3.750797,6.361884,B,01,05,B01,Brefeldin A,50
r02c01f06p01-sk1fk1fl1.tiff,2.5227761,3.5214558,B,01,06,B01,Brefeldin A,50
r02c01f07p01-sk1fk1fl1.tiff,3.3201816,4.932332,B,01,07,B01,Brefeldin A,50
r02c01f08p01-sk1fk1fl1.tiff,3.5865211,6.529219,B,01,08,B01,Brefeldin A,50
r02c01f09p01-sk1fk1fl1.tiff,3.5998578,6.365363,B,01,09,B01,Brefeldin A,50
r02c02f01p01-sk1fk1fl1.tiff,3.1573455,6.1358633,B,02,01,B02,Brefeldin A,25
r02c02f02p01-sk1fk1fl1.tiff,1.2759855,1.8804836,B,02,02,B02,Brefeldin A,25
r02c02f03p01-sk1fk1fl1.tiff,2.966592,5.833153,B,02,03,B02,Brefeldin A,25
r02c02f04p01-sk1fk1fl1.tiff,3.0769758,5.869423,B,02,04,B02,Brefeldin A,25
r02c02f05p01-sk1fk1fl1.tiff,3.5663097,6.502306,B,02,05,B02,Brefeldin A,25
r02c02f06p01-sk1fk1fl1.tiff,2.5003483,3.4228399,B,02,06,B02,Brefeldin A,25
r02c02f07p01-sk1fk1fl1.tiff,3.1469524,4.5148673,B,02,07,B02,Brefeldin A,25
r02c02f08p01-sk1fk1fl1.tiff,3.7670264,6.460997,B,02,08,B02,Brefeldin A,25
r02c02f09p01-sk1fk1fl1.tiff,3.6184227,6.500843,B,02,09,B02,Brefeldin A,25
r02c12f01p01-sk1fk1fl1.tiff,3.0153491,6.089373,B,12,01,B12,Brefeldin A,50
r02c12f02p01-sk1fk1fl1.tiff,3.4538584,5.4715996,B,12,02,B12,Brefeldin A,50
r02c12f03p01-sk1fk1fl1.tiff,3.1430736,5.4457755,B,12,03,B12,Brefeldin A,50
r02c12f04p01-sk1fk1fl1.tiff,2.9560695,5.873388,B,12,04,B12,Brefeldin A,50
r02c12f05p01-sk1fk1fl1.tiff,3.7524107,6.1232653,B,12,05,B12,Brefeldin A,50
r02c12f06p01-sk1fk1fl1.tiff,2.3911536,3.4985445,B,12,06,B12,Brefeldin A,50
r02c12f07p01-sk1fk1fl1.tiff,3.2727416,4.8586893,B,12,07,B12,Brefeldin A,50
r02c12f08p01-sk1fk1fl1.tiff,3.3167138,6.2325277,B,12,08,B12,Brefeldin A,50
r02c12f09p01-sk1fk1fl1.tiff,3.610613,6.4416018,B,12,09,B12,Brefeldin A,50
